,Timestamp,Collector,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined,Following,Followers,Location,Tweet,Tweet Type,Date Posted,Tweet URL,Screenshot,Content Type,Likes,Replies,Retweets,Rating,Reasoning,Other Data
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,Tina78Maan,Tina Maan,I am just being me.,,2016-10-19 20:27:41+00:00,8,7,Chocolate Hills,@inquirerdotnet Yung mga NPA ginutom sa bundok kaya nagpalit anyo at ngayon naging kadamay. Bumalik kayo sa bundok libre tumira don mga komunista.,,2017-04-26 19:23:33+00:00,https://twitter.com/Tina78Maan/status/857314220932710400,,,0,0,0,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,EagleNews,Eagle News,"24/7 news from Eagle News correspondents around the world.
 https://t.co/zr0UKlfLYz",,2013-10-30 05:40:44+00:00,381,27601,,"Impormasyon na front lang ang Kadamay ng mga komunista, paiimbestigahan sa Senado - https://t.co/r0e1u2xVjA https://t.co/24nawADNSp",,2017-04-24 03:22:47+00:00,https://twitter.com/EagleNews/status/856347662169374720,,,0,0,1,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,Tina78Maan,Tina Maan,I am just being me.,,2016-10-19 20:27:41+00:00,8,7,Chocolate Hills,@gmanews Eh totoong maka komunista yung presidente at yung grupong kadamay eh maka komunista din. Yan yung hinahakot para mag rally.,,2017-04-23 16:00:30+00:00,https://twitter.com/Tina78Maan/status/856175961565413377,,,2,0,1,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,PolitikoWatch,Politiko Watch,"We are a social news and blog site where politikos, their kin, friends and allies are the center of the universe. #Politiko",,2016-09-22 14:00:14+00:00,3,928,,"Kadamay front ng mga komunista - Trillanes 
https://t.co/nQ20ZGavVk",,2017-04-16 09:00:01+00:00,https://twitter.com/PolitikoWatch/status/853533428901216256,,,1,0,8,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,PolitikoWatch,Politiko Watch,"We are a social news and blog site where politikos, their kin, friends and allies are the center of the universe. #Politiko",,2016-09-22 14:00:14+00:00,3,928,,"Kadamay front ng mga komunista - Trillanes 
https://t.co/nQ20ZGavVk",,2017-04-10 13:00:02+00:00,https://twitter.com/PolitikoWatch/status/851419503208448000,,,0,0,1,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,PolitikoWatch,Politiko Watch,"We are a social news and blog site where politikos, their kin, friends and allies are the center of the universe. #Politiko",,2016-09-22 14:00:14+00:00,3,928,,"Kadamay front ng mga komunista - Trillanes 
https://t.co/nQ20ZGavVk",,2017-04-08 05:00:00+00:00,https://twitter.com/PolitikoWatch/status/850573921967460357,,,0,0,0,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,PolitikoWatch,Politiko Watch,"We are a social news and blog site where politikos, their kin, friends and allies are the center of the universe. #Politiko",,2016-09-22 14:00:14+00:00,3,928,,"Kadamay front ng mga komunista - Trillanes 
https://t.co/nQ20ZGs7jU",,2017-04-07 10:15:00+00:00,https://twitter.com/PolitikoWatch/status/850290807689162752,,,0,0,0,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,DZMMTeleFeed,DZMMTeleRadyoFeed,,,2015-08-07 06:20:56+00:00,0,248,,Kadamay umalma sa akusasyong front sila ng komunista,,2017-04-07 09:50:00+00:00,https://twitter.com/DZMMTeleFeed/status/850284516371345408,,,0,0,0,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,DZMMTeleRadyo,DZMM TeleRadyo,"The Official Twitter news feed of DZMM Radyo Patrol 630, DZMM TeleRadyo and https://t.co/xFP7gFSYYB. Like us on Facebook: https://t.co/FFvpFBOPD0",,2009-11-24 02:03:16+00:00,180,1513619,"ABS-CBN, Diliman, Quezon City","#RadyoPatrol Bansag na komunista sa grupong Kadamay, guni-guni lamang umano ni Sen. Antonio Trillanes | Ulat ni @zhandercayabyab https://t.co/0FNCjza9yo",,2017-04-07 04:27:52+00:00,https://twitter.com/DZMMTeleRadyo/status/850203447244709892,,,3,1,1,,,
0,2023-03-30,Salvador,Red-tagging of Kadamay,kadamay komunista,DZMMTeleRadyo,DZMM TeleRadyo,"The Official Twitter news feed of DZMM Radyo Patrol 630, DZMM TeleRadyo and https://t.co/xFP7gFSYYB. Like us on Facebook: https://t.co/FFvpFBOPD0",,2009-11-24 02:03:16+00:00,180,1513619,"ABS-CBN, Diliman, Quezon City","Kadamay: Paratang na komunista ang kanilang grupo, guni-guni lang ni Sen. Antonio Trillanes | via @zhandercayabyab https://t.co/K4I5uXXMwZ",,2017-04-07 04:03:15+00:00,https://twitter.com/DZMMTeleRadyo/status/850197253666947076,,,14,2,11,,,
