,Timestamp,Collector,Topic,Keywords,Account Handle,Account Name,Account Bio,Account Type,Joined,Following,Followers,Location,Tweet,Tweet Type,Date Posted,Tweet URL,Screenshot,Content Type,Likes,Replies,Retweets,Rating,Reasoning,Other Data
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,sknNbns,✨ doolie,enfp | Memento Mori | i'm the problem,,2010-11-09 06:08:04+00:00,629,273,Taguig,"This whole kadamay occupying houses shit is so frustrating. 😧 mahirap din kami mga mamshie, walang sariling bahay pero di kami magnanakaw ng",,2017-04-06 10:49:29+00:00,https://twitter.com/sknNbns/status/849937095598628864,,,1,2,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,savedbymgc1995,.,,,2015-04-03 14:51:55+00:00,229,114,PHL,KABWISIT TONG MGA KADAMAY NA TO PISITING YAWA MAGNANAKAW NA NGA NG BAHAY SALOT PA SA LIPUNAN,,2017-05-26 04:48:17+00:00,https://twitter.com/savedbymgc1995/status/867965588647182336,,,0,1,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,iamzciohakkai,markymark,Filipino🇵🇭 Beermen🍻 DapatAngKarapatdapat🎀,,2011-04-13 05:09:26+00:00,470,79,,@pattypasion @rapplerdotcom @sec_judy supporters? meaning mga KADAMAY? yung pinadalhan pa ng food packs na magnanakaw ng bahay. OKAY.,,2017-05-17 04:20:19+00:00,https://twitter.com/iamzciohakkai/status/864697060393496576,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,DZMMTeleRadyo,DZMM TeleRadyo,"The Official Twitter news feed of DZMM Radyo Patrol 630, DZMM TeleRadyo and https://t.co/xFP7gFSYYB. Like us on Facebook: https://t.co/FFvpFBOPD0",,2009-11-24 02:03:16+00:00,180,1513535,"ABS-CBN, Diliman, Quezon City","Kadamay Chairperson Gloria Arellano: ""Hindi kami magnanakaw ng bahay!"" | via @zhandercayabyab https://t.co/Bo4YeUt5Qr",,2017-06-16 02:55:31+00:00,https://twitter.com/DZMMTeleRadyo/status/875547357831602176,,,14,73,5,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,zhandercayabyab,Zhander Cayabyab,News Anchor at DZXL RMN | Broadcast Journalist | College Instructor @ThePUPOfficial; TikTok: @maskomportable,,2012-08-06 07:42:21+00:00,1197,12946,Republic of the Philippines,"Kadamay Chairperson Gloria Arellano: ""Hindi kami magnanakaw ng bahay!"" @DZMMTeleRadyo https://t.co/FlV4G4kXo0",,2017-06-16 02:52:01+00:00,https://twitter.com/zhandercayabyab/status/875546474989314048,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,pinoymag15,Pinoy Magazine,,,2014-12-22 02:30:44+00:00,40,29,,Kadamay Chairperson privilege/benefit iyon ng mga sundalo. Kayo Kadamay mga magnanakaw ng bahay ng mga sundalo... https://t.co/Cy3jiZ9Ex0,,2017-07-27 23:30:53+00:00,https://twitter.com/pinoymag15/status/890716151222861824,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,Rip_Vanwinkle,Tobyn Frost,Just an average Joe!,,2009-04-29 08:17:47+00:00,429,285,Everywhere but nowhere,@cnnphilippines Food packs para sa Kadamay na magnanakaw ng pabahay pero sa mga Maranao na nawalan ng bahay sa Marawi nganga! Buti nga sa iyo! LOL!,,2017-08-17 03:04:31+00:00,https://twitter.com/Rip_Vanwinkle/status/898017669261152256,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,michelle_oliva,michelle oliva,"simple,friendly and goodwife",,2013-03-22 12:03:52+00:00,18,12,,Tamad na nga kayo magnanakaw pa ng bahay yan c kadamay https://t.co/E7WPAU17Gr,,2017-09-21 10:37:53+00:00,https://twitter.com/michelle_oliva/status/910815340183027712,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,PauLoMercado17,PauLo Mercado,BasTa fEeL ko lang im Special sabe ng Mama ko,,2018-01-03 04:12:58+00:00,66,3,Manila,@bamaquino @senatePH Nako Aagawin Yan ng grupong Kadamay....mga Magnanakaw ng bahay yun eh...gusto pa Libre KURYENTE..TUBIG AT YAYA SA ANAK...,,2018-02-06 05:12:18+00:00,https://twitter.com/PauLoMercado17/status/960742928527212544,,,0,0,0,,,
0,2023-03-31,Salvador,Red-tagging of Kadamay,kadamay magnanakaw ng bahay,RiskIt4DBiskit,dmy,,,2012-09-01 13:13:54+00:00,905,169,,"@cnnphilippines ang Sinungaling ay Kapatid ng Magnanakaw, panu nga ulit nakuha ng kadamay mga bahay nila?",,2018-02-02 10:58:21+00:00,https://twitter.com/RiskIt4DBiskit/status/959380462610268162,,,2,1,1,,,
